Date,SockeyeCount,RiverTemperature,RiverHeight
07/06/05,"2,736",12.75,2.19
07/07/05,"2,821",13.25,2.12
07/08/05,784,12.5,2.09
07/09/05,"1,736",12.5,2.08
07/10/05,"2,112",10.25,2.27
07/11/05,196,9,2.38
07/12/05,446,8.5,2.91
07/13/05,"2,795",9.5,2.67
07/14/05,"3,368",9.75,2.59
07/15/05,"4,318",12,2.45
07/16/05,"2,014",12,2.4
07/17/05,"2,514",12.25,2.62
07/18/05,"1,563",11,2.75
07/19/05,668,12,2.58
07/20/05,468,13.25,2.44
07/21/05,175,14.25,2.38
07/22/05,280,14.5,2.25
07/23/05,51,15,2.19
07/24/05,24,14.5,2.12
07/25/05,925,15,2.44
07/26/05,"1,324",15.5,2.02
07/27/05,"1,763",15.5,2
07/28/05,"1,090",15,1.97
07/29/05,779,15.5,1.92
07/30/05,"1,418",15.25,1.89
07/31/05,858,16,1.78
08/01/05,498,16,1.83
08/02/05,424,15.5,1.8
08/03/05,341,15.5,1.78
08/04/05,354,14.5,1.76
08/05/05,104,12.5,1.79
08/06/05,140,11.25,1.83
08/07/05,436,12.5,2
08/08/05,262,13,2.14
08/09/05,279,12.5,2.1
08/10/05,156,13.5,2.08
08/11/05,146,13.5,2.44
08/12/05,134,14,2.47
08/13/05,116,14,2.43
08/14/05,134,14.5,2.35
08/15/05,37,15,2.3
08/16/05,59,14,2.22
08/17/05,33,14,2.13
08/18/05,59,14,2.07
08/19/05,57,13,2.02
08/20/05,82,12.5,1.95
08/21/05,94,12.5,1.95
08/22/05,69,11,1.9
08/23/05,54,11,1.93
08/24/05,20,10,2.42
08/25/05,46,9.75,2.48
08/26/05,142,10,2.33
08/27/05,29,10,2.2
08/28/05,71,10,2.41
08/29/05,18,10,3.13
08/30/05,5,9.5,3.32
08/31/05,10,8,3.05
09/01/05,23,8,2.87
09/02/05,18,7.5,2.84
09/03/05,3,8,2.84
09/04/05,5,7.25,2.68
09/05/05,4,7.5,2.53
06/30/06,0,,
07/01/06,0,,
07/02/06,0,8.5,1.63
07/03/06,0,9,1.58
07/04/06,0,11.25,1.48
07/05/06,14,12.75,1.45
07/06/06,53,13.25,1.43
07/07/06,210,11,1.44
07/08/06,763,11.5,1.36
07/09/06,"2,440",11.5,1.25
07/10/06,"2,535",12.5,1.21
07/11/06,"3,974",13,1.19
07/12/06,"2,265",13.5,1.17
07/13/06,668,10.5,1.16
07/14/06,"3,473",11,1.12
07/15/06,965,9.5,1.04
07/16/06,"2,362",8.5,1.01
07/17/06,"2,374",10,1
07/18/06,"3,036",10,1.15
07/19/06,"2,587",11.25,1.29
07/20/06,"2,102",11,1.22
07/21/06,"1,908",11,1.14
07/22/06,"3,139",11,1.09
07/23/06,"1,555",13,1.15
07/24/06,"1,982",13.5,1
07/25/06,534,13,1
07/26/06,483,13,0.99
07/27/06,471,11,0.96
07/28/06,"1,461",10.5,0.94
07/29/06,"1,287",10.5,1.12
07/30/06,480,8.5,1.09
07/31/06,419,9,1.04
08/01/06,700,9,0.98
08/02/06,965,9,0.95
08/03/06,776,10.5,0.92
08/04/06,576,10.5,0.9
08/05/06,"1,204",12,0.8
08/06/06,252,11,0.86
08/07/06,236,9.5,0.93
08/08/06,324,10.5,0.88
08/09/06,473,11,0.86
08/10/06,375,11,0.9
08/11/06,375,10.5,0.99
08/12/06,384,9.5,1
08/13/06,301,11,0.97
08/14/06,264,11.5,0.95
08/15/06,303,11,0.89
08/16/06,195,11,0.88
08/17/06,123,10,0.87
08/18/06,81,8,0.9
08/19/06,114,8,0.84
08/20/06,109,9,0.86
08/21/06,69,9,0.83
08/22/06,103,9,0.82
08/23/06,80,9,0.82
08/24/06,41,10,0.82
08/25/06,37,10.5,0.8
08/26/06,40,10,0.78
08/27/06,22,10.5,0.78
08/28/06,7,9,0.76
08/29/06,40,9,0.75
08/30/06,32,8.5,0.74
08/31/06,7,8,0.72
09/01/06,24,7.5,0.7
09/02/06,39,8.5,0.7
09/03/06,20,9,0.68
09/04/06,10,8.5,0.68
09/05/06,8,8,0.68
09/06/06,0,7.5,0.68
09/07/06,20,8,0.94
09/08/06,13,9,1.51
09/09/06,9,8.5,1.51
09/10/06,9,9,1.35
09/11/06,23,9,1.24
09/12/06,0,,
06/29/07,0,,
06/30/07,0,,
07/01/07,0,10,1.25
07/02/07,252,15,1.29
07/03/07,"1,281",11,1.28
07/04/07,"2,504",15,1.26
07/05/07,"1,779",15.5,1.23
07/06/07,"1,100",15.5,1.18
07/07/07,278,14.5,1.14
07/08/07,"1,212",15.5,1.08
07/09/07,"2,501",16,1.02
07/10/07,"2,888",15,1
07/11/07,"1,014",15.5,0.98
07/12/07,"2,512",16,0.94
07/13/07,"1,757",15.5,0.91
07/14/07,"1,358",16,0.93
07/15/07,"1,308",15.5,0.9
07/16/07,"1,603",15,0.88
07/17/07,"2,252",15,0.86
07/18/07,"2,121",14,0.82
07/19/07,"3,452",12.5,0.8
07/20/07,"1,775",13,0.78
07/21/07,"1,399",12.5,0.78
07/22/07,"1,369",12,0.8
07/23/07,"1,169",12,0.93
07/24/07,641,12,0.9
07/25/07,911,12.5,0.86
07/26/07,510,12,0.81
07/27/07,462,12.5,0.8
07/28/07,368,12.5,0.81
07/29/07,369,11.5,0.8
07/30/07,297,12.5,0.87
07/31/07,335,12.5,0.98
08/01/07,122,11.5,0.95
08/02/07,174,12,0.95
08/03/07,208,11.5,1.05
08/04/07,301,11,1.21
08/05/07,172,11,1.22
08/06/07,239,10.5,1.2
08/07/07,152,11.5,1.11
08/08/07,197,11.5,1.11
08/09/07,129,12,1.07
08/10/07,75,12,1.04
08/11/07,64,11.5,1.02
08/12/07,18,9.5,1.08
08/13/07,42,10.5,1.18
08/14/07,35,10.5,1.27
08/15/07,63,10.5,1.27
08/16/07,129,11,1.21
08/17/07,128,11,1.18
08/18/07,106,11.5,1.15
08/19/07,36,11.5,1.11
08/20/07,30,11.5,1.08
08/21/07,82,11.5,1.06
08/22/07,40,12,1.04
08/23/07,13,11,1.01
08/24/07,29,11.5,1.05
08/25/07,39,11,0.99
08/26/07,11,11,0.97
08/27/07,11,11.5,0.98
08/28/07,5,11,0.96
08/29/07,0,9.5,0.91
08/30/07,0,8.5,0.9
08/31/07,0,8.5,0.87
09/01/07,0,9,0.86
09/02/07,4,9,0.86
09/03/07,1,8.5,0.84
09/04/07,0,8.5,0.82
09/05/07,0,8,0.8
09/06/07,0,8,0.8
09/07/07,0,8,0.81
09/08/07,0,8,0.83
09/09/07,0,7.5,1.1
09/10/07,0,7.5,1.32
06/25/08,0,,
06/26/08,0,,
06/27/08,0,,
06/28/08,0,,
06/29/08,0,,
06/30/08,0,,
07/01/08,0,,
07/02/08,0,,
07/03/08,26,11,1.09
07/04/08,54,13,1.14
07/05/08,"1,473",14,1.2
07/06/08,831,13,1.27
07/07/08,991,14,1.18
07/08/08,320,12,1.13
07/09/08,292,11,1.26
07/10/08,943,10,1.78
07/11/08,426,9,1.61
07/12/08,446,8,1.54
07/13/08,934,9,1.96
07/14/08,"1,083",9,1.8
07/15/08,883,9,1.89
07/16/08,"1,188",9,2.08
07/17/08,"1,005",9,2.17
07/18/08,"1,076",9,2.04
07/19/08,925,11,1.78
07/20/08,684,9,1.64
07/21/08,275,8,1.52
07/22/08,859,9,1.36
07/23/08,615,10,1.17
07/24/08,352,10,1.07
07/25/08,438,9,1.09
07/26/08,476,8,1.14
07/27/08,691,9,1.06
07/28/08,219,11,0.95
07/29/08,169,9,0.9
07/30/08,259,9,0.85
07/31/08,248,9,0.81
08/01/08,342,9,0.77
08/02/08,110,8,0.74
08/03/08,241,8,0.72
08/04/08,129,7,0.8
08/05/08,148,9,0.72
08/06/08,180,10,0.67
08/07/08,76,11,0.63
08/08/08,156,12,0.56
08/09/08,167,11,0.51
08/10/08,136,11,0.49
08/11/08,92,11,0.46
08/12/08,88,10,0.47
08/13/08,111,11,0.44
08/14/08,77,12,0.44
08/15/08,48,13,0.43
08/16/08,27,12,0.39
08/17/08,17,12,0.35
08/18/08,27,12,0.35
08/19/08,21,12,0.35
08/20/08,14,12,0.33
08/21/08,17,11,0.3
08/22/08,8,12,0.27
08/23/08,13,11,0.24
08/24/08,15,11,0.23
08/25/08,5,9,0.2
08/26/08,1,8,0.2
08/27/08,1,7,0.19
08/28/08,0,7,0.18
08/29/08,0,7,0.17
08/30/08,0,7,0.17
08/31/08,0,9,0.16
09/01/08,0,8,0.14
06/26/09,0,9,1.19
06/27/09,0,8.5,0.985
06/28/09,0,9,0.85
06/29/09,0,8.5,0.73
06/30/09,0,9.5,0.68
07/01/09,0,11,0.62
07/02/09,0,13,0.62
07/03/09,0,13.5,0.66
07/04/09,0,11.5,0.85
07/05/09,0,10.5,0.62
07/06/09,4,12,0.51
07/07/09,0,13.5,0.49
07/08/09,2,12.5,0.48
07/09/09,2,11.5,0.43
07/10/09,14,12.5,0.37
07/11/09,58,13.5,0.32
07/12/09,58,14,0.3
07/13/09,82,14.5,0.3
07/14/09,35,14,0.34
07/15/09,7,12,0.3
07/16/09,9,12,0.26
07/17/09,22,12.5,0.19
07/18/09,38,13,0.21
07/19/09,44,13,0.27
07/20/09,24,13,0.31
07/21/09,55,13.5,0.29
07/22/09,30,13.5,0.26
07/23/09,34,14,0.26
07/24/09,5,13,0.26
07/25/09,46,12.5,0.28
07/26/09,6,12,0.3
07/27/09,24,12.5,0.31
07/28/09,75,12.5,0.54
07/29/09,40,13,0.705
07/30/09,42,11,0.93
07/31/09,8,10,1.18
08/01/09,17,10,1.03
08/02/09,20,10.5,1.01
08/03/09,21,11.5,0.87
08/04/09,16,12.5,0.84
08/05/09,6,13,0.71
08/06/09,16,11,0.66
08/07/09,21,12,0.59
08/08/09,20,12,0.53
08/09/09,5,12.5,0.47
08/10/09,20,13,0.43
08/11/09,2,12,0.39
08/12/09,8,11.5,0.35
08/13/09,0,11.5,0.32
08/14/09,1,11.5,0.3
08/15/09,2,12,0.29
08/16/09,4,11.5,0.26
08/17/09,0,11,0.25
08/18/09,0,9,0.3
08/19/09,1,9.5,0.27
08/20/09,2,10.5,0.225
08/21/09,0,9,0.25
08/22/09,2,9.5,0.46
08/23/09,0,9,0.52
08/24/09,0,9,0.49
08/25/09,0,8,0.44
08/26/09,0,7.5,0.41
08/27/09,1,8,0.38
08/28/09,1,8.5,0.35
08/29/09,0,9,0.31
08/30/09,2,9,0.3
08/31/09,1,8.5,0.6
06/25/10,0,15,1.045
06/26/10,0,10,1
06/27/10,0,12.25,1.05
06/28/10,2,12.5,0.9
06/29/10,0,11.5,0.81
06/30/10,0,13.5,0.74
07/01/10,0,13,0.69
07/02/10,0,12.5,0.65
07/03/10,0,13,0.67
07/04/10,2,14,0.65
07/05/10,0,10.5,0.56
07/06/10,4,11.5,0.55
07/07/10,0,12,0.5
07/08/10,15,11.5,0.47
07/09/10,4,14,0.42
07/10/10,4,15,0.39
07/11/10,2,14.5,0.35
07/12/10,1,14.5,0.35
07/13/10,5,14,0.31
07/14/10,48,12.5,0.34
07/15/10,150,14.5,0.31
07/16/10,60,11,0.29
07/17/10,36,10,0.32
07/18/10,48,9.5,0.34
07/19/10,68,9.5,0.37
07/20/10,60,11.5,0.39
07/21/10,41,12,0.39
07/22/10,17,9.5,0.39
07/23/10,105,8.5,0.41
07/24/10,106,10.5,0.44
07/25/10,62,13,0.43
07/26/10,111,13,0.42
07/27/10,56,12,0.5
07/28/10,103,13,0.59
07/29/10,94,13.5,0.59
07/30/10,123,14.5,0.57
07/31/10,48,14.5,0.52
08/01/10,48,15,0.485
08/02/10,84,15.5,0.44
08/03/10,21,13.5,0.415
08/04/10,20,15,0.39
08/05/10,12,14.5,0.38
08/06/10,5,13.5,0.355
08/07/10,10,14.5,0.365
08/08/10,12,13,0.355
08/09/10,6,12.5,0.35
08/10/10,9,14,0.385
08/11/10,12,14,0.49
08/12/10,5,13,0.62
08/13/10,4,13,0.635
08/14/10,5,11.5,0.615
08/15/10,1,12.5,0.81
08/16/10,0,10.5,1.24
08/17/10,0,10.5,1.45
08/18/10,0,9.5,1.51
08/19/10,4,11,1.34
08/20/10,4,11.5,1.2
08/21/10,5,11.5,1.11
08/22/10,5,12,1.02
08/23/10,0,11,0.96
08/24/10,0,11.5,0.91
08/25/10,1,11,0.87
08/26/10,2,11.5,0.84
08/27/10,1,11.5,0.81
08/28/10,0,11.5,0.81
08/29/10,0,11.5,0.75
08/30/10,1,11.5,0.72
08/31/10,2,12,0.69
09/01/10,0,10,0.66
06/29/11,0,11,
06/30/11,0,10.5,1.27
07/01/11,0,11,1.16
07/02/11,0,9.5,1.07
07/03/11,2,10,1.04
07/04/11,0,8.5,1.02
07/05/11,0,8.5,1.03
07/06/11,5,10,1.89
07/07/11,14,11,1.68
07/08/11,25,12,1.5
07/09/11,26,11,1.38
07/10/11,150,11,1.3
07/11/11,366,10.5,1.25
07/12/11,378,9.5,1.42
07/13/11,1022,9,2.03
07/14/11,630,9.5,2.09
07/15/11,274,9,1.96
07/16/11,495,9,2.04
07/17/11,677,8.5,2.47
07/18/11,155,10.5,2.26
07/19/11,327,10,1.92
07/20/11,319,10.5,1.72
07/21/11,381,12,1.56
07/22/11,605,13,1.44
07/23/11,400,13.5,1.37
07/24/11,466,13.5,1.4
07/25/11,79,13.5,1.35
07/26/11,184,13.5,1.27
07/27/11,172,14.5,1.18
07/28/11,160,14.5,1.11
07/29/11,19,11,1.34
07/30/11,88,12,1.2
07/31/11,71,12,1.13
08/01/11,43,10.5,1.07
08/02/11,95,12,0.99
08/03/11,49,10,0.91
08/04/11,65,11,1.12
08/05/11,48,10,1.32
08/06/11,34,7,1.245
08/07/11,28,8,1.235
08/08/11,99,11,1.23
08/09/11,92,10,1.33
08/10/11,79,9.5,1.26
08/11/11,35,11,1.4
08/12/11,,9,2.15
08/13/11,29,9,1.93
08/14/11,51,8,1.63
08/15/11,24,9.5,1.53
08/16/11,12,9.5,1.38
08/17/11,22,11,1.335
08/18/11,20,12.5,1.28
08/19/11,15,12,1.19
08/20/11,9,10.5,1.11
08/21/11,14,9,1.08
08/22/11,12,8,1.02
08/23/11,13,8,0.99
08/24/11,11,8,0.97
08/25/11,8,7,0.99
08/26/11,5,8,0.95
08/27/11,10,9,0.91
08/28/11,0,7.5,0.87
08/29/11,4,8,0.84
08/30/11,1,10,0.86
08/31/11,6,8.5,0.88
09/01/11,0,10,0.92
06/27/12,0,11.5,0.99
06/28/12,0,11.5,0.95
06/29/12,0,12,0.91
06/30/12,0,12.5,0.88
07/01/12,0,12,0.85
07/02/12,0,10.5,0.805
07/03/12,0,9.5,0.81
07/04/12,0,14,0.85
07/05/12,0,10,0.915
07/06/12,0,11.5,1.03
07/07/12,1,13.5,0.95
07/08/12,16,12,0.91
07/09/12,7,12,0.87
07/10/12,92,12.5,0.83
07/11/12,681,16,0.77
07/12/12,762,16,0.74
07/13/12,428,14,0.73
07/14/12,184,12.5,0.7
07/15/12,127,13,0.685
07/16/12,96,13.5,0.67
07/17/12,140,11,0.655
07/18/12,162,10,0.64
07/19/12,276,12,0.68
07/20/12,283,11.5,0.63
07/21/12,324,12.5,0.59
07/22/12,501,13,0.58
07/23/12,497,13.5,0.55
07/24/12,269,10.5,0.54
07/25/12,220,10.5,0.58
07/26/12,267,10.5,0.9
07/27/12,55,9.5,1.075
07/28/12,92,9.5,1.18
07/29/12,462,10,2.28
07/30/12,,9.75,
07/31/12,18,9.5,2.21
08/01/12,29,10,2.08
08/02/12,48,10,2
08/03/12,45,10,1.83
08/04/12,44,10,1.745
08/05/12,27,11,1.705
08/06/12,12,9.5,1.6
08/07/12,67,10,1.51
08/08/12,124,10.5,1.405
08/09/12,66,10,1.33
08/10/12,95,11,1.28
08/11/12,60,13,1.21
08/12/12,75,11.5,1.17
08/13/12,37,12,1.13
08/14/12,50,12.5,1.11
08/15/12,15,10,1.09
08/16/12,50,10.5,1.735
08/17/12,27,9.5,2.8
08/18/12,14,10,2.9
08/19/12,0,9,3.975
06/27/13,0,10.5,
06/28/13,0,10,0.92
06/29/13,0,,1.45
06/30/13,0,10.5,1.36
07/01/13,0,11,1.32
07/02/13,0,10.5,1.43
07/03/13,0,10.5,1.33
07/04/13,0,9,1.4
07/05/13,0,8.5,1.41
07/06/13,0,12,1.4
07/07/13,0,10.5,1.25
07/08/13,5,10.5,1.13
07/09/13,1639,12.5,1.04
07/10/13,1691,13,0.96
07/11/13,240,13,0.9
07/12/13,2611,14.5,0.89
07/13/13,1362,15,1.52
07/14/13,267,15,1.43
07/15/13,718,13.5,1.43
07/16/13,77,12,1.04
07/17/13,323,12,1.04
07/18/13,668,11.5,0.995
07/19/13,455,12,0.94
07/20/13,558,12,0.885
07/21/13,516,12.5,0.86
07/22/13,278,12,0.8
07/23/13,224,13.5,0.76
07/24/13,116,15.5,0.74
07/25/13,97,13,0.71
07/26/13,87,14.5,0.68
07/27/13,51,16,0.66
07/28/13,48,15,0.64
07/29/13,11,13.5,0.61
07/30/13,41,14,0.58
07/31/13,40,15,0.61
08/01/13,45,15.5,0.705
08/02/13,36,15.5,0.8
08/03/13,21,14,0.89
08/04/13,16,14,1.19
08/05/13,10,12.5,1.355
08/06/13,5,13,1.8
08/07/13,4,13,2.59
08/08/13,8,12.5,2.27
08/09/13,,12.5,
08/10/13,,13,2.47
08/11/13,,,2.08
08/12/13,0,12.25,1.86
08/13/13,0,12,1.8
08/14/13,6,12,1.71
08/15/13,10,11.5,1.58
08/16/13,13,13,1.5
08/17/13,12,11,1.555
08/18/13,6,10.5,1.495
08/19/13,24,11.5,1.405
08/20/13,11,11,1.37
08/21/13,5,11,1.43
08/22/13,6,11,1.37
08/23/13,6,11,1.31
08/24/13,5,10,1.27
08/25/13,6,10.5,1.255
08/26/13,7,11,1.24
08/27/13,4,10,1.24
08/28/13,4,9,1.19
08/29/13,4,8.5,1.16
08/30/13,2,8.5,1.11
08/31/13,2,9,1.08
09/01/13,0,8.5,1.24
09/02/13,0,7.5,1.4
09/03/13,3,8.5,1.52
09/04/13,0,10,1.46
09/05/13,0,9,1.39
09/06/13,1,8.5,1.33
09/07/13,0,8.5,
09/08/13,0,7,
06/25/14,0,13,
06/26/14,0,12,2.475
06/27/14,1,12.5,2.525
06/28/14,0,11,2.45
06/29/14,0,11,2.3
06/30/14,0,11.5,2.2
07/01/14,1,10.5,2.2
07/02/14,30,10,2.2
07/03/14,53,10.5,2.19
07/04/14,50,11.5,2.11
07/05/14,204,12.5,2.03
07/06/14,283,13,2.065
07/07/14,692,14.5,2.1
07/08/14,416,14.5,2.175
07/09/14,75,13.5,2.105
07/10/14,401,13.5,2.1
07/11/14,206,13.5,2.145
07/12/14,179,13,2.15
07/13/14,117,12.5,2.175
07/14/14,601,10.5,2.245
07/15/14,88,10,2.305
07/16/14,53,9.5,2.35
07/17/14,24,10,2.495
07/18/14,62,8.5,2.385
07/19/14,53,9.5,2.355
07/20/14,39,8.5,2.16
07/21/14,71,9,2.07
07/22/14,876,9.5,2.14
07/23/14,410,10,2.125
07/24/14,54,9,2.03
07/25/14,381,9.5,1.95
07/26/14,577,11.5,1.91
07/27/14,20,10,1.85
07/28/14,388,11.5,1.86
07/29/14,355,12.5,1.82
07/30/14,409,11.5,1.77
07/31/14,299,12,1.77
08/01/14,586,14,1.745
08/02/14,513,14,1.755
08/03/14,208,14,1.69
08/04/14,137,14.5,1.685
08/05/14,126,15,1.66
08/06/14,97,15.5,1.62
08/07/14,100,15,1.59
08/08/14,65,14,1.615
08/09/14,120,14,1.63
08/10/14,58,14.5,1.62
08/11/14,66,15,1.655
08/12/14,37,14.5,1.65
08/13/14,33,14,1.635
08/14/14,15,13.5,1.64
08/15/14,24,13.5,1.815
08/16/14,16,13.5,1.98
08/17/14,1,13.5,2.39
08/18/14,0,13.5,2.43
08/19/14,32,13.5,2.175
08/20/14,6,12,2.07
08/21/14,3,12,2.08
08/22/14,3,12,2.05
08/23/14,1,12.5,1.96
08/24/14,2,13,1.87
08/25/14,1,,1.83
08/26/14,1,,1.78
